From agency,To agency,Relationship type,Description,Status
WADNRWGS,WAEMD,info/research,public communication outreach,
WAEMD,WADNRWGS,info/research,public communication outreach,
WADNRWGS,USBR,data,,
USBR,WADNRWGS,info/research,,
WADNRWGS,USBR,info/research,,
USBR,WADNRWGS,data,,
WADNRWGS,PNSN,info/research,"clearinghouse outreach, network planning",
PNSN,WADNRWGS,info/research,"clearinghouse outreach, network planning",
WADNRWGS,WSDOT,data,reviews,
WADNRWGS,DOGAMI,info/research,,
DOGAMI,WADNRWGS,info/research,,
WADNRWGS,DOGAMI,data,,
DOGAMI,WADNRWGS,data,,
DOGAMI,OEM,data,,
DOGAMI,OEM,info/research,reports,
DOGAMI,OEM,tools/products,maps,
DOGAMI,DLCD,data,,
DOGAMI,DLCD,info/research,reports,
DOGAMI,DLCD,tools/products,maps,
DOGAMI,ODFW,data,,
DOGAMI,ODFW,info/research,reports,
DOGAMI,ODFW,tools/products,maps,
DOGAMI,OPRD,data,,
DOGAMI,OPRD,info/research,reports,
DOGAMI,OPRD,tools/products,maps,
DOGAMI,ORMedia,data,,
DOGAMI,ORMedia,info/research,reports,
DOGAMI,ORMedia,tools/products,maps,
DOGAMI,SeaGrant,data,,
DOGAMI,SeaGrant,info/research,reports,
DOGAMI,SeaGrant,tools/products,maps,
SeaGrant,DOGAMI,data,,
SeaGrant,DOGAMI,info/research,reports,
SeaGrant,DOGAMI,tools/products,maps,
NOAA,DOGAMI,data,,
NOAA,DOGAMI,info/research,reports,
NOAA,DOGAMI,tools/products,maps,
FEMA,DOGAMI,data,,
FEMA,DOGAMI,info/research,reports,
FEMA,DOGAMI,tools/products,maps,
USGS,DOGAMI,info/research,reports,
USGS,DOGAMI,tools/products,maps,
DOGAMI,CRESCENT,data,,
DOGAMI,CRESCENT,info/research,reports,
DOGAMI,CRESCENT,tools/products,maps,
CRESCENT,DOGAMI,data,,
CRESCENT,DOGAMI,info/research,reports,
CRESCENT,DOGAMI,tools/products,maps,
FEMA,DOGAMI,funding,,
USGS,DOGAMI,funding,,
NEHRP,DOGAMI,funding,,
NTHMP,DOGAMI,funding,,
NEHRP,DOGAMI,info/research,,
NTHMP,DOGAMI,info/research,,
DOGAMI,NEHRP,info/research,,
DOGAMI,NTHMP,info/research,,
NWS,DOGAMI,info/research,,
DOGAMI,NWS,info/research,,
DOGAMI,OEM,info/research,,
OEM,DOGAMI,info/research,,
ODOT,DOGAMI,info/research,,
DOGAMI,ODOT,info/research,,
DOGAMI,EWEB,info/research,,
DOGAMI,PG&E,info/research,,
DOGAMI,PGE,info/research,,
DOGAMI,CGS,info/research,,
CGS,DOGAMI,info/research,,
NRCanGSC,USGS,info/research,"share methods, collaborat on shared needs",
USGS,NRCanGSC,info/research,"share methods, collaborat on shared needs",
NRCanGSC,BCEM,emergency response coordination,"share scenarios, support planning",
NRCanGSC,FIN,,,
NRCanGSC,PSC,info/research,collaborate on communication and research/policy,
NRCanGSC,PSC,data,,
NRCanGSC,PACICC,info/research,share analysis,
GeoBC,NRCanGSC,data,,
LidarBC,NRCanGSC,data,,
MetroVan,NRCanGSC,data,,
Hakai,NRCanGSC,data,,
NRCanGSC,GEM,tools/products,models,
NRCanGSC,GEM,info/research,"methods, comms",
GEM,NRCanGSC,tools/products,models,
GEM,NRCanGSC,info/research,"methods, comms",
WADNRWGS,WAEMD,info/research,,
WADNRWGS,WAEMD,emergency response coordination,,
WAEMD,WADNRWGS,info/research,,
WAEMD,WADNRWGS,emergency response coordination,,
SeaGrant,WADNRWGS,info/research,,
WADNRWGS,SeaGrant,info/research,,
WADNRWGS,NTHMP,info/research,,
NTHMP,WADNRWGS,info/research,,
WADNRWGS,Tribal,info/research,,
CGS,WADNRWGS,info/research,,
WADNRWGS,CGS,info/research,,
USGS,WADNRWGS,info/research,,
NWS,WADNRWGS,emergency response coordination,,
WADNRWGS,NWS,info/research,,
WADNRWGS,NWS,emergency response coordination,,
NWS,WADNRWGS,info/research,,
OEM,FEMA,info/research,"share knowlede, support, community outreach",
FEMA,OEM,funding,,
FEMA,OEM,info/research,"share knowlede, support, community outreach",
OEM,DOGAMI,info/research,community engagement,
DOGAMI,OEM,info/research,community engagement,
OEM,USGS,info/research,ShakeAlert community education,
USGS,OEM,info/research,ShakeAlert community education,
NEHRP,OEM,funding,,
NTWC,OEM,emergency response coordination,warning,
PTWC,OEM,emergency response coordination,warning,
NWS,OEM,,,
USGS,OEM,info/research,,
USFS,OEM,,,
PMEL,OEM,info/research,,
OEM,NTHMP,info/research,,
OEM,NEHRP,info/research,,
OEM,OSSPAC,info/research,,
OEM,SeaGrant,info/research,,
OEM,Copes,info/research,,
OEM,CRESCENT,info/research,,
OEM,SCEC,info/research,,
OEM,ECA,info/research,,
OEM,CREW,info/research,,
OEM,PEER,info/research,,
OEM,EERI,info/research,,
NTHMP,OEM,info/research,,
NEHRP,OEM,info/research,,
OSSPAC,OEM,info/research,,
SeaGrant,OEM,info/research,,
Copes,OEM,info/research,,
CRESCENT,OEM,info/research,,
SCEC,OEM,info/research,,
ECA,OEM,info/research,,
CREW,OEM,info/research,,
PEER,OEM,info/research,,
EERI,OEM,info/research,,
WADNRWGS,OEM,info/research,,
CGS,OEM,info/research,,
PNSN,OEM,info/research,,
DOGAMI,OEM,tools/products,maps and models,
